"categoria","area_principal","dedicacion","dni","desde","hasta","id_antecedente"
esse,Open-source actuating forecast,Gestión,33807067,2012-04-20,2020-02-16,1
laboriosam,Secured scalable task-force,Gestión,11884051,2004-11-11,2007-04-24,2
eligendi,Robust attitude-oriented budgetary management,Gestión,25996963,2008-03-14,2008-12-24,3
velit,Open-source systematic contingency,Docencia,15405692,2010-07-24,2015-10-18,4
neque,Stand-alone transitional system engine,Gestión,29185356,2019-12-13,2023-04-03,5
nesciunt,Cloned content-based matrix,Gestión,48274105,2008-11-03,2014-11-26,6
accusamus,Exclusive object-oriented application,Gestión,22539390,2020-04-26,2021-12-03,7
asperiores,Synergized tangible definition,Investigación,90285181,2021-05-31,2021-07-25,8
dolorem,Business-focused mobile software,Docencia,74633330,2009-09-04,2018-07-02,9
consectetur,Expanded optimizing ability,Docencia,15014625,2010-06-02,2012-03-13,10
totam,Enterprise-wide impactful software,Investigación,69510160,2016-07-22,2020-07-15,11
dignissimos,Adaptive fresh-thinking functionalities,Gestión,68728099,2004-11-06,2012-02-01,12
accusantium,Phased attitude-oriented productivity,Docencia,15452477,2006-08-12,2013-12-02,13
illo,Polarized maximized utilization,Gestión,91306853,2007-05-17,2016-03-14,14
debitis,Reverse-engineered secondary help-desk,Investigación,47374705,2022-06-14,2022-12-22,15
eaque,Exclusive analyzing utilization,Gestión,53583073,2007-08-28,2012-07-15,16
iste,Innovative 6thgeneration adapter,Docencia,73430649,2019-08-07,2023-11-20,17
quod,Re-engineered impactful monitoring,Docencia,41180995,2006-10-08,2024-05-23,18
voluptate,Self-enabling reciprocal Graphical User Interface,Docencia,22880577,2016-01-16,2019-05-26,19
beatae,Decentralized radical toolset,Investigación,88302279,2006-08-26,2023-12-10,20
