"codigo_postal","provincia","localidad","departamento","numero","piso","calle","razon_social","cuit_cuil","idsv"
13290,La Rioja,Albacete,Huelva,9,16,C. de Cloe Conesa,Transportes Ferrando S.Coop.,16483387917,5404
45771,Almería,Segovia,Madrid,2,8,Cañada Florencio Paz,Servicios Leiva S.L.N.E,38318715830,12983
33077,Melilla,Valladolid,Badajoz,2,21,Rambla de Isabela Riera,Familia Plana S.Coop.,49578851242,4521
5995,Las Palmas,Ciudad,Navarra,2,731,Cañada de Luz Cárdenas,Inmobiliaria Padilla & Asociados S.L.,50990504401,11987
30605,Las Palmas,Burgos,Las Palmas,7,14,Via de René Juan,Grupo Zorrilla S.Com.,57232923094,14426
50909,Las Palmas,Almería,Vizcaya,8,99,Pasadizo de María Manuela Olivares,Alimentación Prat y asociados S.L.N.E,64245076397,6702
9886,Álava,Navarra,Pontevedra,7,58,Vial de Clara Río,Logística Adán & Asociados S.A.,66041704133,2637
31879,Alicante,Melilla,Navarra,7,94,Pasadizo de Pastora Díez,Fábrica del Noroeste S.L.,66302323271,18766
45182,León,Guadalajara,La Rioja,5,53,Vial Patricia Alegre,Inversiones del Sur S.Coop.,66354206329,10872
7514,Soria,Ceuta,La Rioja,5,83,Plaza Roberta Pino,Supermercados EPY S.A.,75889537683,2462
42911,Girona,Málaga,Huesca,4,93,Cañada Chucho Pla,Beltrán y Robledo S.Com.,80769280557,11052
5178,Lugo,Sevilla,Valladolid,8,49,Callejón Nieves Córdoba,Minería Pedraza S.C.P,84501690709,17750
34343,Guadalajara,Lleida,Toledo,8,521,Calle Elpidio Sanchez,Inversiones Ródenas S.L.,87906027337,14415
49690,Girona,Ceuta,Cáceres,5,768,Glorieta de Nacio Medina,Restauración IC S.L.,89036048985,1114
40303,Zaragoza,Sevilla,Badajoz,9,25,C. de Jessica Cuenca,Hermanos Conesa S.Coop.,89458032908,4379
39270,Ceuta,Melilla,Lugo,9,405,Rambla de Fito Larrañaga,Gascón & Asociados S.L.N.E,90009615680,17991
34889,Cantabria,Navarra,Tarragona,4,3,Pasaje de Rafael Fernández,Supermercados Olivé y asociados S.C.P,90684002253,11217
14931,Teruel,Lugo,Vizcaya,6,7,Calle de Rosario Santamaría,Promociones del Norte S.L.,91558697788,1977
5190,Valencia,Segovia,Granada,8,92,Rambla Ángel Rivas,Desarrollo Samper y asociados S.L.N.E,98431816438,9839
47355,Albacete,Ciudad,Toledo,4,85,Glorieta de Daniela Roldan,Lloret y Correa S.Coop.,98668681326,3811
