"iddj","dni","fecha_dj"
1447,63160505,2018-08-15
3224,38372624,2020-11-30
3935,96695010,2012-09-12
3987,89320841,2018-04-15
4471,48572943,1997-03-03
4568,56154917,1995-10-01
4663,44337361,2013-04-23
5872,31863034,2014-07-20
10325,27449081,2006-09-21
12861,31195767,2004-01-04
14680,82390979,2008-04-26
16264,47121764,2024-03-13
16388,27834676,2005-08-20
16860,62520227,1996-04-13
17742,75220270,2010-11-02
17887,42086991,2003-02-22
18476,49811345,2020-10-28
18736,34564559,1997-01-01
18878,81044832,2020-09-29
19544,65029073,2003-08-24
