unidad_academica,cargo,dedicacion,dni,desde,hasta,id_antecedente
Inversiones Alcalde y asociados S.L.,Conductor de vehículos accionados a pedal o a brazo,Investigación,58225096,2015-03-27,2020-01-03,596
Díaz y Blanes S.L.N.E,Ensamblador de equipos eléctricos,Investigación,13374933,2016-03-31,2017-08-26,183
Malena Moll Coello S.Coop.,Vendedor de comidas al mostrador,Gestión,30154058,2015-11-27,2017-02-21,795
Carretero y Maldonado S.Com.,Instalador y reparador en tecnología de la información y las comunicaciones,Docencia,21455205,2020-10-10,2021-11-03,164
Transportes Ibérica S.L.,Expendedor de gasolineras,Investigación,16342679,2015-05-31,2016-09-09,946
Barroso y asociados S.L.,Director de recursos humanos,Investigación,36448075,2013-05-12,2023-10-19,629
Puente y Olivares S.L.N.E,Conductor de automóviles,Gestión,98010691,2020-12-03,2020-12-05,85
Soluciones del Noroeste S.A.,Operador de instalaciones de tratamiento de agua,Gestión,29857434,2018-03-05,2020-02-22,12
Familia Mendizábal S.C.P,Bailarín,Docencia,27171594,2023-05-26,2024-02-23,718
Bastida y Juárez S.A.,Árbitro deportivo,Docencia,41194283,2022-08-20,2023-02-24,816
Rocamora y asociados S.L.N.E,Técnico en documentación sanitaria,Gestión,67065966,2019-12-20,2020-04-11,89
Ballester y Miguel S.A.,Catador de alimentos y bebidas,Investigación,63953035,2022-01-17,2022-06-03,760
Familia Nogués S.A.,Supervisor de secretaría,Gestión,29857434,2013-05-26,2022-08-12,12
Suministros CSZ S.Coop.,Agente de aduanas,Docencia,53681107,2017-06-15,2022-07-02,871
Hnos Torrens S.L.,Secretario jurídicos,Investigación,77196644,2016-05-22,2023-10-04,218
Instalaciones Lucas y asociados S.Coop.,Ingeniero químico,Gestión,25187562,2009-11-08,2012-02-22,620
Bartolomé y asociados S.A.T.,"Operador de incineradores, instalaciones de tratamiento de agua",Gestión,12604452,2005-05-21,2014-09-13,5
Logística Castellana S.A.,Profesional de partería,Docencia,63219550,2020-02-07,2020-11-19,140
Hermanos Giner S.Coop.,Telefonista,Docencia,35819396,2014-02-17,2023-04-06,83
Familia Dávila S.Com.,Diseñador multimedia,Docencia,53681107,2021-11-08,2023-03-26,871
Soluciones Giménez & Asociados S.L.,Cuidador de animales,Gestión,98612398,2012-07-16,2017-01-16,407
Hnos Giner S.A.,Empleado de centro de llamadas,Investigación,16114353,2012-04-11,2013-06-01,684
Alimentación Berenguer S.A.,"Operador de máquinas de preparación de fibras, hilado y devanado",Investigación,72255156,2012-07-22,2022-02-26,202
Pastora Aliaga Pacheco S.L.N.E,Bombero,Investigación,58225096,2013-04-14,2015-04-26,596
Supermercados Nadal S.A.,Profesional de partería,Gestión,48067477,2021-07-03,2022-05-29,8
Distribuciones XBR S.L.,Operador de máquinas de coser,Gestión,30154058,2020-09-11,2021-05-06,795
Manufacturas Gutierrez y asociados S.C.P,Empleado de biblioteca,Investigación,95495648,2017-04-04,2020-10-04,919
Hnos Mayol S.Coop.,Técnico forestal,Investigación,94694649,2009-07-31,2011-04-26,294
Hotel Martin S.A.T.,Cajero,Investigación,50578628,2006-06-21,2009-09-19,811
Cabrera y Zorrilla S.Com.,Cocinero,Investigación,77196644,2011-05-13,2019-02-10,218
Suministros Integrales S.A.,Operador de máquinas de tratamiento de pieles y cueros,Gestión,49925982,2017-04-02,2021-08-08,805
Distribuciones CNF S.Com.,Ingeniero electricista,Investigación,13374933,2005-10-29,2017-12-07,183
Dora Ribera Peña S.Coop.,Técnico en ciencias físicas y químicas,Investigación,47692575,2018-01-26,2022-12-12,873
Cañizares y asociados S.A.,Técnico en asistencia al usuario de tecnología de la información y las comunicaciones,Gestión,67890239,2008-06-03,2013-06-19,7
Transportes Almansa y asociados S.A.,Operario de la elaboración de productos lácteos,Docencia,56312166,2018-05-06,2021-07-10,601
Hermanos Gomez S.Com.,Mecánico y reparador de vehículos de motor,Investigación,16863756,2021-03-23,2022-08-25,365
Restauración SLSC S.Coop.,Peón de jardinería y horticultura,Investigación,99827907,2009-12-14,2018-06-12,893
Manufacturas JWS S.L.,Diseñador de bases de datos,Gestión,85117413,2009-02-17,2016-02-08,319
Finanzas ZC S.A.,Ingeniero electricista,Investigación,44374953,2021-06-22,2024-06-22,938
Hnos Soler S.A.,Operador de grúas y aparatos elevadores,Investigación,16114353,2023-01-24,2023-10-02,684
Banca Privada Enríquez y asociados S.Coop.,Cocinero de comidas rápidas,Investigación,92049177,2012-11-16,2022-08-01,358
Olmo y Giménez S.A.,Director de producción de piscicultura y pesca,Docencia,53681107,2008-05-08,2023-12-26,871
Rosa y Pineda S.Com.,Inspector medioambiental y afines,Investigación,16114353,2014-08-10,2020-10-11,684
Tecnologías Burgos S.L.,Corrector de pruebas de imprenta,Gestión,43830708,2017-09-04,2021-02-25,464
Comercial Galan S.L.L.,Recepcionista de hoteles,Investigación,39433091,2014-08-08,2015-08-25,409
Sedano & Asociados S.A.,Técnico en química industrial,Gestión,92755019,2014-01-26,2022-09-09,943
