empresa_anterior,tipo_actividad,cargo,desde,hasta,dni
Distribuciones Navarrete y asociados S.Com.,Diseñador de interior,quis,2017-07-08,2021-09-10,59111114
Tecnologías AS S.A.,Auxiliar laico de las religión,rerum,2022-05-13,2022-07-18,36580673
Manufacturas del Norte S.A.,Astrólogo,adipisci,2010-11-16,2018-02-15,84874099
Manzano y Pallarès S.A.,Pulidor de metales y afilador de herramientas,aspernatur,2011-05-05,2012-06-17,32051600
Fábrica Mayol S.A.,Desarrollador Web y multimedia,atque,2012-05-09,2018-09-13,25319882
Promociones Inteligentes S.L.N.E,Técnico en electrónica,repellat,2012-10-19,2023-07-13,89669950
Alimentación Internacionales S.Coop.,Botánico,consectetur,2017-12-22,2020-06-02,70298725
Infraestructuras Iberia S.L.,Trabajador de cuidados personales a domicilio,laborum,2020-06-01,2020-10-29,86660910
Grupo Montoya S.L.,Juez,delectus,2011-04-12,2013-05-19,23614312
Frías y Guillen S.A.,Contable,consequuntur,2020-08-25,2021-09-27,35372460
Fábrica Camino S.Coop.,Electrotécnico,amet,2018-07-30,2021-12-31,81185857
Aitana Valencia Redondo S.Com.,Empleado de archivos,quibusdam,2014-06-27,2018-03-26,18713014
Quintero y Miralles S.Com.,Oficial de préstamos y créditos,quas,2017-05-24,2024-07-02,49877629
Ibáñez & Asociados S.L.N.E,Agente de servicios de seguridad social,ullam,2014-11-21,2018-04-07,74613383
Torrens y asociados S.L.L.,Dibujante técnico,dolorem,2007-05-01,2018-01-03,39848017
Manufacturas AAY S.A.,Tasador,beatae,2020-05-22,2021-08-17,53478204
Minería Estrada & Asociados S.L.,Peón de explotaciones ganaderas,placeat,2022-10-01,2024-01-30,67724575
Serrano y asociados S.L.,Controlador de procesos,libero,2008-05-14,2019-05-12,14214997
Hnos Salvador S.Com.,Escritor,minus,2009-06-30,2019-06-20,53478204
Pedro y Blazquez S.Com.,"Técnico en galerías de arte, museos y bibliotecas",quo,2011-02-19,2011-04-18,19588355
