"nombre","descripcion","institucion","desde","hasta","dni"
Consequatur numquam vitae ad.,A animi sunt. Quam consequatur earum et recusandae rem.,Comercial RFRY S.A.,2016-01-19,2020-11-22,33905749
Corporis dolore nobis.,Nulla quaerat explicabo natus. Quos sapiente laborum cupiditate. Similique magnam expedita molestiae ea fugiat a.,Restauración Española S.A.T.,2016-06-18,2017-09-30,24529711
Culpa a.,"Sunt sequi asperiores doloribus animi saepe. Atque suscipit vitae occaecati. Illo eligendi ullam quia non.
Et eos velit enim. Enim nisi quam. Illum nulla earum vel hic facere omnis.",Quirino Cózar Aramburu S.L.N.E,2017-12-01,2020-01-21,69319995
Culpa sequi.,Ratione nam sequi dicta molestias eius. Asperiores facere nisi corrupti eos earum pariatur.,Córdoba y Oller S.Coop.,2018-03-07,2023-12-28,56800850
Dolores est.,"Quod id necessitatibus. In minus culpa ab impedit consequatur.
A doloribus doloribus. Deleniti at facere.",Comercial OMG S.L.N.E,2023-06-06,2023-09-03,17451174
Dolores saepe non.,"Modi amet eum explicabo illum blanditiis. Amet harum sit quisquam totam modi.
Nulla inventore quaerat sapiente fugit. Sit facere nemo nemo.",Banco Rey & Asociados S.L.N.E,2023-03-03,2024-06-23,86104727
Doloribus at.,"Eum possimus aliquid. Modi explicabo veniam illum eum eius.
Eos aliquid distinctio quasi illum inventore temporibus. Sed facilis quia hic inventore fugiat quisquam.",Silva & Asociados S.A.,2017-06-20,2019-10-11,95685224
Ducimus blanditiis.,Cupiditate quaerat nam dolor similique voluptates temporibus. Distinctio expedita quaerat ipsa odio velit. Repellat laboriosam commodi ex fuga temporibus. Adipisci nulla aut quaerat.,Servicios Españolas S.L.,2020-12-23,2024-01-20,18386025
Esse molestias.,"Voluptatem porro in est ipsa. Minus qui laboriosam animi vitae asperiores.
Vel minus aut nam atque sequi autem animi. Vitae rem quaerat distinctio. Aspernatur laborum asperiores quos.",Instalaciones Suarez y asociados S.A.D,2017-11-16,2018-12-20,84552890
Impedit quo molestiae qui.,"Architecto temporibus minus. Cupiditate ipsam sequi facere minima. Possimus enim iusto.
Numquam pariatur dignissimos incidunt explicabo. Doloremque tenetur voluptatum deleniti beatae voluptatem.",Familia Fonseca S.C.P,2015-05-16,2018-07-17,56074006
Ipsum a ratione.,Minima possimus magnam corrupti eaque accusantium. Aut placeat ut molestias cupiditate neque fuga. Recusandae quis labore tempore dignissimos.,María José Tejera Río S.Coop.,2015-01-23,2023-02-23,71733427
Laudantium pariatur.,Vitae officia totam voluptates dolore deleniti quidem. Veniam nisi veritatis officiis excepturi inventore. Fugiat non repudiandae consequuntur nisi perspiciatis.,Suministros Coloma S.L.,2022-01-17,2023-06-07,84363277
Modi.,"Aliquid officia dolorem sapiente expedita excepturi impedit. Asperiores saepe officiis quo.
Quam voluptates quo aspernatur repudiandae. Deleniti ea dolores ipsum facilis adipisci nulla.",Camila Nicolás Sureda S.A.,2019-01-14,2019-09-02,28862973
Modi.,"Labore aliquid voluptatem eaque impedit. Tenetur nisi nostrum odit consequatur dolor animi.
At natus perspiciatis natus. Ea necessitatibus adipisci in.",Familia Cordero S.C.P,2021-09-20,2021-11-02,31536570
Nostrum perferendis ad.,"Reprehenderit adipisci quos quasi quis voluptas. Vero numquam repudiandae neque.
Laudantium cum dolor rem dolorem rerum. Vero aut nobis omnis veniam ullam est.
Facere quas ipsam. Amet deserunt eum.",Compañía Integrales S.A.,2019-05-25,2023-02-27,45223481
Repudiandae suscipit.,"Sapiente quis architecto nemo dolorum. Odio exercitationem optio ipsam.
Commodi veniam aperiam debitis. Sapiente laboriosam quis architecto doloribus. Ducimus nesciunt iusto nulla.",Pomares & Asociados S.Com.,2022-03-04,2023-09-24,57868810
Sapiente nulla.,Voluptates ab aliquid dolorum. Illo quibusdam fugit. Aut quo consequatur facilis adipisci mollitia ab.,Serna y asociados S.Com.,2019-08-11,2020-02-18,94784127
Similique ipsam in doloribus.,Ipsa non alias libero vel ipsam. Minus eos dicta quaerat vero. Nam nulla vero quis veritatis occaecati minima. Ipsum nam ipsa vitae.,Epifanio Garay Castejón S.Coop.,2022-06-05,2024-01-20,38574893
Sint est.,"Rerum eos aut cumque sint dolorem. Eaque quibusdam eaque ad incidunt illum nisi. Dolor expedita eum.
Adipisci recusandae nostrum illo molestias. Vitae recusandae error nihil iure amet.",Familia Guerra S.Coop.,2021-06-06,2024-06-14,89553450
Veritatis magnam.,"Facere occaecati quidem enim vero. Quos labore assumenda in illo distinctio.
Eaque quibusdam nesciunt maiores. Qui nesciunt hic nostrum modi.",Consultoría NT S.Com.,2022-02-10,2022-06-08,81961793
