email,tipo_email,telefono,tipo_telefono,id_contacto,dni
angelita79@example.net,Personal,+34 876122263,Personal,865,48556140
aasensio@example.org,Personal,+34728 625 997,Trabajo,923,29030632
haroaurelio@example.net,Personal,+34873 68 13 01,Trabajo,963,26900637
moisesgoicoechea@example.org,Personal,+34 981061760,Trabajo,524,46942063
qsobrino@example.net,Trabajo,+34 735 098 689,Personal,614,52392657
rupertasancho@example.com,Personal,+34825 76 63 42,Trabajo,371,39617051
felix37@example.net,Trabajo,+34878 64 32 19,Trabajo,147,48010018
mario55@example.com,Trabajo,+34877097485,Trabajo,351,26276667
benitoamaya@example.com,Personal,+34943 278 509,Personal,215,26287524
aguedasalvador@example.com,Trabajo,+34 977 17 19 95,Personal,625,67395596
ferrandoruben@example.com,Personal,+34709 044 637,Trabajo,675,95699285
palominoflorentino@example.org,Trabajo,+34732853439,Personal,403,92668258
cuetolola@example.com,Trabajo,+34849 71 86 22,Personal,550,64230601
ibanezvinicio@example.net,Personal,+34814 93 99 50,Trabajo,310,78687912
felipecarrasco@example.net,Personal,+34 972 589 081,Trabajo,767,60123656
planasvicente@example.org,Personal,+34947 981 046,Personal,990,68079201
geraldosalvador@example.org,Trabajo,+34946 498 372,Personal,436,18902437
lmateos@example.com,Personal,+34820 124 258,Trabajo,439,68124619
qhurtado@example.org,Personal,+34 848 53 41 02,Trabajo,449,54930905
julianacuna@example.org,Personal,+34 803 318 382,Trabajo,530,12965193
efrain91@example.com,Personal,+34902 100 846,Trabajo,970,20836806
dalilacozar@example.net,Personal,+34946 65 36 61,Personal,14,32807026
adanguardiola@example.com,Personal,+34881343460,Personal,369,19602770
baudeliobaez@example.net,Trabajo,+34879 35 86 66,Trabajo,314,10700955
hermenegildolarranaga@example.net,Trabajo,+34 978 96 60 69,Trabajo,102,68124619
feliuveronica@example.com,Trabajo,+34 974789995,Trabajo,377,54930905
felipe26@example.com,Trabajo,+34 827865854,Trabajo,968,18264008
chuchotrujillo@example.org,Personal,+34972586851,Personal,985,86659497
geronimomartinez@example.org,Trabajo,+34921 017 429,Personal,103,97845232
arinoomar@example.org,Personal,+34 876 76 96 86,Personal,118,11978635
raulnavarro@example.com,Trabajo,+34 973 32 67 59,Trabajo,497,32807026
scarbonell@example.net,Trabajo,+34 803649459,Personal,684,33557966
aliagarufina@example.com,Trabajo,+34872713207,Trabajo,132,14080959
juanitovalle@example.com,Personal,+34 975119114,Personal,437,17097578
augusto37@example.com,Personal,+34 973483848,Personal,482,31176008
calzadafelipa@example.net,Personal,+34 925 762 580,Personal,99,26276667
fandres@example.org,Trabajo,+34 846336628,Trabajo,777,75886431
fitocerdan@example.com,Trabajo,+34 876883109,Trabajo,315,24070712
mcampo@example.org,Trabajo,+34846910180,Personal,561,87851927
eugeniasegui@example.net,Personal,+34883 76 21 32,Trabajo,1000,19989146
maria-fernandapuente@example.org,Trabajo,+34843 00 19 81,Trabajo,382,81632476
guadalupearenas@example.com,Trabajo,+34926 89 19 94,Personal,522,22387696
maria-belen18@example.org,Trabajo,+34844 75 45 13,Personal,778,64230601
lordonez@example.org,Personal,+34888 46 08 74,Personal,813,22418097
mcanton@example.com,Trabajo,+34728 173 464,Trabajo,928,88554975
diezveronica@example.net,Trabajo,+34 981256917,Trabajo,495,70005801
romanaurora@example.org,Personal,+34981 514 566,Trabajo,428,54691860
saturninolobato@example.org,Personal,+34936600522,Personal,206,10762425
aroapinol@example.org,Trabajo,+34924 11 87 02,Trabajo,875,43297472
gemaotero@example.org,Personal,+34 883 977 879,Personal,227,15504838
lola47@example.org,Trabajo,+34983 662 705,Trabajo,931,97215815
ernestopomares@example.org,Trabajo,+34841 051 837,Trabajo,51,14333222
lmilla@example.net,Trabajo,+34 726 315 365,Personal,416,65420549
domingarovira@example.com,Trabajo,+34816362737,Personal,86,64847190
casandramiralles@example.org,Trabajo,+34872 14 37 06,Trabajo,688,10762425
leonel55@example.net,Trabajo,+34 800 407 862,Personal,135,26287524
florencia13@example.com,Personal,+34949 88 99 63,Trabajo,648,86659497
rubiomaria-carmen@example.com,Personal,+34881 716 065,Trabajo,326,26704006
rosario95@example.com,Personal,+34972294146,Trabajo,257,89365580
aragonessantiago@example.net,Personal,+34 871837810,Personal,105,43964227
rocamorafabiola@example.org,Trabajo,+34 979 430 204,Personal,511,34151949
regulo30@example.net,Trabajo,+34 972 684 629,Trabajo,564,21367486
mauraalvarado@example.com,Trabajo,+34924 044 365,Personal,855,75172565
pia95@example.com,Trabajo,+34920 78 73 36,Personal,559,14052179
natalio57@example.org,Trabajo,+34973 322 631,Personal,861,74699030
xcomas@example.net,Trabajo,+34923 72 69 30,Trabajo,908,37901343
hurtadosandra@example.com,Trabajo,+34 941338103,Personal,481,91279372
btorrent@example.net,Trabajo,+34 947 980 230,Personal,114,48829660
jpina@example.org,Trabajo,+34842 505 784,Trabajo,365,62294418
pachecomario@example.net,Personal,+34823 35 72 87,Trabajo,425,34992197
arevalogilberto@example.org,Personal,+34 873 90 49 28,Personal,71,76077668
cdieguez@example.net,Personal,+34 945476953,Personal,454,55873294
iniguezaura@example.com,Personal,+34984557462,Trabajo,496,54860005
venceslasquintanilla@example.net,Personal,+34 887 19 12 40,Personal,228,36261123
parejobaudelio@example.com,Personal,+34979 715 719,Trabajo,34,92539192
primitivo73@example.org,Trabajo,+34 887232448,Trabajo,26,48010018
usantos@example.com,Personal,+34 983348722,Personal,472,33564837
payllon@example.net,Personal,+34745 12 93 30,Trabajo,324,32807026
dominga38@example.net,Trabajo,+34 983 483 388,Personal,292,38253997
martorelldafne@example.com,Personal,+34926 38 45 30,Personal,816,52063301
ruben05@example.net,Trabajo,+34886242218,Trabajo,308,63932114
mollmontserrat@example.net,Personal,+34 719 499 189,Personal,769,48829660
cirinosalcedo@example.net,Trabajo,+34 982818071,Personal,54,70349322
elias59@example.com,Trabajo,+34 949 365 783,Personal,793,62636611
espadaloreto@example.org,Personal,+34826442041,Personal,591,12965193
carmelita02@example.com,Trabajo,+34704 98 48 71,Personal,850,26704006
csureda@example.net,Personal,+34828 828 995,Personal,627,37901343
mcastilla@example.com,Trabajo,+34 862941552,Personal,917,37792710
sandra95@example.net,Personal,+34941 567 716,Personal,52,98719197
macarenavalentin@example.net,Personal,+34943518581,Personal,719,85020459
hcamacho@example.com,Personal,+34918589031,Personal,649,39253025
gvalle@example.com,Personal,+34863 208 751,Trabajo,474,29762834
paezkike@example.net,Personal,+34844600863,Personal,986,17097578
nprado@example.net,Trabajo,+34985 643 660,Personal,501,81632476
leonel72@example.com,Trabajo,+34984 982 859,Personal,635,97215815
