idioma,nivel,certificacion,institucion,dni
Nuevo Noruego,Intermedio,corporis,Esteban Expósito Pi S.A.,93114415
Azerí,Avanzado,magni,Marisela Peña Castelló S.Com.,74392205
Bretón,Avanzado,sapiente,Despacho Diéguez S.Com.,80339819
Yoruba,Intermedio,in,Suministros LE S.L.N.E,71402877
Akánico,Básico,quas,Fábrica QNXP S.Coop.,66699548
Maltés,Avanzado,nam,Rosell y asociados S.Com.,82508176
Guaraní,Intermedio,laboriosam,Comercializadora Internacionales S.L.N.E,51714418
Húngaro,Intermedio,sit,Rodríguez y asociados S.L.,20708988
Rumano,Avanzado,consectetur,Soluciones TD S.A.,51278089
Albanés,Básico,delectus,Compañía SWXW S.Coop.,34137627
Pali,Intermedio,dicta,Alimentación Sierra S.L.,55190376
Malabar,Avanzado,et,Grupo Alcántara S.L.N.E,72508836
Bengalí,Intermedio,incidunt,Grupo Prats S.L.N.E,95071135
Setsuana,Avanzado,voluptas,Hermanos Adadia S.L.N.E,45540274
Kanurí,Avanzado,beatae,Supermercados Galindo S.Com.,41059016
Kurdo,Básico,sed,Escamilla & Asociados S.A.,80086994
Neerlandés,Avanzado,consectetur,Maribel Giralt Mas S.L.L.,87586425
Haitiano,Básico,consectetur,Familia Quiroga S.L.L.,77180842
Oriya,Avanzado,repudiandae,Nogués y Exposito S.L.N.E,21616679
Nuosu,Básico,voluptas,Durán y Herrero S.L.L.,55463471
