dni,tipo_domicilio,fecha_nacimiento,nombre,apellido,localidad,departamento,provincia,numero,piso,codigo_postal,calle,edad,cuil,inicio_actividad,estado_civil,sexo,barrio,legajo
52880742,Personal,1977-03-03,Zoraida,Estevez,Almería,Salamanca,Jaén,2763,,4462,Camino Nacio Marco,36,20274756841,2012-01-30,Casado,M,Norte,6107348
85099652,Otro,1984-05-31,Zacarías,Benavente,Cantabria,Segovia,Baleares,6041,2B,9343,Pasadizo Isidora Llano,43,29365948943,2013-07-14,Divorciado,M,Centro,8487576
80889519,Personal,1997-08-01,Nydia,Lozano,Álava,Toledo,Valladolid,5758,4D,7190,Urbanización Leocadio Guerrero,25,25807720263,2023-03-03,Viudo,M,Centro,1723528
26678019,Personal,1997-03-01,Lucas,Tello,Castellón,Ceuta,Lugo,9729,3C,9358,Vial Saturnina Pinto,23,29251043498,1999-05-23,Viudo,M,Oeste,9219195
47839085,Laboral,1977-09-10,Josefina,Llanos,Soria,Huesca,Almería,43,,6266,Cuesta Gonzalo Vallés,59,28642507271,2002-05-14,Viudo,M,Barrio 3,8267615
25232223,Otro,2000-07-26,Amparo,Mosquera,Lleida,Burgos,Cantabria,6741,,5967,Rambla de Wálter Figuerola,39,28302342199,2012-06-15,Soltero,M,Barrio 3,1406420
35681598,Otro,1988-11-22,Nerea,Bolaños,Barcelona,Barcelona,Valladolid,6267,3C,6848,Pasaje de Amaya Baena,54,29095352510,2019-09-21,Divorciado,M,Barrio 3,9199448
91398186,Otro,1997-05-12,Rafael,Cueto,Córdoba,Almería,Albacete,868,1A,6884,Rambla Trinidad Lasa,62,28513499186,1995-04-29,Soltero,M,Sur,8553848
27589128,Otro,1983-07-02,María,Quintero,Melilla,La Coruña,Ceuta,8838,3C,7290,Camino Fausto Montalbán,52,28203100515,1995-02-25,Divorciado,M,Barrio 1,1067519
51409229,Laboral,1963-04-03,Emiliano,Gallardo,Teruel,Almería,Ourense,7129,4D,9494,Avenida Edelmira Arnal,59,25976543430,2015-04-10,Divorciado,M,Sur,4227662
48950355,Otro,1981-01-12,Remedios,Morata,Pontevedra,Zamora,Burgos,8959,4D,1981,Via Lucho Pou,60,23002243610,2019-05-15,Divorciado,F,Sur,4737652
93469897,Personal,1992-06-30,Mireia,Beltrán,Málaga,Asturias,Barcelona,2024,,9112,Alameda de María Puig,35,27305568389,2001-10-31,Casado,M,Sur,1852465
23821839,Otro,1971-09-08,Gabriel,Ribes,Albacete,Navarra,Alicante,7205,4D,4107,Glorieta de Ignacio Galvez,38,20561003467,2015-06-20,Soltero,F,Barrio 3,1561425
58303539,Personal,1972-01-29,Arcelia,Rosell,Segovia,Burgos,Zaragoza,7025,,3450,Plaza Ana Belén Martorell,33,28069913334,2009-04-06,Divorciado,M,Norte,5789660
57768311,Laboral,1992-07-19,María José,Hoz,Albacete,Tarragona,Lugo,5847,2B,2711,Avenida Cintia Salcedo,64,23240365465,2015-08-28,Viudo,F,Barrio 2,1952705
75171888,Laboral,1959-10-22,Amaya,Llano,Badajoz,Ávila,Toledo,5536,2B,3337,Paseo Juan Francisco Durán,28,28951168990,1997-05-17,Casado,F,Barrio 3,7410954
54546178,Personal,1964-07-07,Eliana,Pina,Soria,Guipúzcoa,Ávila,7977,2B,8280,Acceso de Adelardo Mir,59,27473362486,2001-08-24,Viudo,M,Barrio 2,9638070
92405283,Otro,1970-04-28,Alejo,Benítez,Navarra,Barcelona,Cantabria,4452,2B,4840,Paseo Haroldo Aragonés,56,27924223684,1998-11-05,Divorciado,M,Barrio 1,267649
48602600,Otro,1985-11-15,Victor Manuel,Checa,Toledo,Granada,Pontevedra,9771,2B,5106,Rambla Bartolomé Sanz,56,23643343249,1997-06-27,Casado,M,Barrio 3,5529959
18840861,Laboral,1982-06-05,Rolando,Villegas,Castellón,Salamanca,Guipúzcoa,4,3C,5752,Plaza Bernardita Rius,23,29072280204,2022-02-02,Soltero,F,Barrio 1,183044
13760949,Otro,1986-02-25,Maricela,Pineda,Ciudad,Tarragona,Ávila,42,3C,5918,Urbanización de Gracia Espinosa,56,27416447858,2009-12-24,Divorciado,M,Oeste,3990430
53939908,Otro,1998-11-22,Manuelita,Aguirre,Huelva,Cuenca,Jaén,663,4D,4851,Alameda de Manu Canet,26,23741939040,2011-05-26,Viudo,M,Centro,6178991
40706747,Otro,1985-03-11,Viviana,Llorente,Madrid,Santa Cruz de Tenerife,Toledo,6495,1A,7070,Acceso de Petrona Prada,56,21152337725,2009-05-25,Viudo,F,Norte,4536972
41742018,Personal,1982-08-29,Tere,Osorio,Palencia,Ávila,Soria,3670,2B,5863,Camino Goyo Fuentes,25,23324807396,2013-01-08,Viudo,F,Oeste,9425514
26258831,Personal,1984-08-28,Reinaldo,Peral,Ciudad,Jaén,Palencia,2070,4D,3263,Glorieta de Arcelia Bayo,36,24073558523,2017-05-14,Soltero,F,Barrio 3,3611504
18969334,Laboral,1972-03-04,Elodia,Rosell,Toledo,Córdoba,Granada,8391,3C,7203,Callejón de Reyes Ayala,59,22670032106,2015-07-08,Soltero,M,Oeste,1747338
88537910,Personal,2000-07-04,Maura,Bayona,Zamora,Guadalajara,Cádiz,2032,4D,1283,Alameda de Pastor Palacio,32,20601933814,2007-06-08,Casado,M,Barrio 1,7547808
67555123,Laboral,1979-09-21,Rosenda,Arana,Álava,Málaga,Huesca,8241,2B,5177,Urbanización Bonifacio Cantero,45,25158119432,2005-12-19,Casado,M,Barrio 2,7196079
63926091,Laboral,1975-11-02,Mariana,Sala,Guadalajara,Pontevedra,Las Palmas,6037,1A,7269,Pasaje de Aránzazu Viñas,23,25165786141,2001-12-29,Soltero,M,Sur,410001
40827242,Otro,1985-05-14,Martina,Figueras,Pontevedra,Sevilla,León,937,,6938,Ronda Amador Becerra,37,27812674134,2023-01-17,Divorciado,F,Barrio 2,325701
64657975,Otro,1993-12-10,Salomé,Mendez,Badajoz,Lleida,Zamora,2345,3C,7915,Callejón de Caridad Cuéllar,37,28852988398,2006-08-10,Viudo,M,Barrio 3,529635
77431108,Otro,1986-05-27,Carlito,Martinez,Huelva,Barcelona,Madrid,5811,2B,5096,Paseo de Paz Verdú,57,25891320387,2013-12-18,Viudo,F,Este,3287164
83995969,Personal,1979-03-14,Herminia,Rueda,Pontevedra,Albacete,Cádiz,9059,1A,5473,Callejón de Andrea Burgos,33,28205756366,2008-01-14,Viudo,M,Oeste,2416295
34703406,Laboral,1964-04-26,Luna,Cid,Tarragona,Girona,Castellón,9563,2B,7562,Via de Luciano Lumbreras,56,27326769970,2000-03-29,Viudo,M,Norte,9157339
65934865,Otro,1967-09-29,Gabriel,Porcel,Palencia,Pontevedra,La Rioja,3430,1A,1186,Cuesta Zaira Acuña,57,28776268404,2016-08-11,Casado,M,Centro,47701
46820502,Otro,1970-01-26,Asdrubal,Calzada,Zaragoza,Tarragona,La Coruña,7003,,5512,Plaza Francisco Alemán,29,27756368538,2000-05-08,Casado,M,Norte,5813946
48987767,Laboral,1983-06-21,Marciano,Galan,Murcia,Ávila,Badajoz,1309,,8780,Plaza de Osvaldo Colom,27,27111843407,2004-03-12,Casado,M,Centro,7347077
88942012,Otro,1966-04-30,Constanza,Barco,Valencia,Palencia,Pontevedra,9202,1A,9508,Vial de María Belén Vives,38,25478625591,2018-07-11,Soltero,F,Barrio 1,6029108
22549076,Otro,1985-11-09,Andrés,Cabrero,Zamora,Huelva,Ávila,1106,3C,8963,Urbanización de Blas Gálvez,45,25107089831,1995-07-14,Casado,M,Este,526979
81343287,Laboral,1972-11-06,María Dolores,Cervantes,Zamora,Tarragona,Cantabria,1669,3C,1792,Alameda Heraclio Villalobos,57,21040300280,2015-07-13,Soltero,M,Este,7115398
